bars_per_day,threshold,n_oos,beta0,t0,beta1,t1,r2,median_dur_min
1.0,5234381.0,2955,0.1738075351548256,25.423117806586855,-0.0185888166599599,-4.125757539972163,0.2887503192821572,223.0
1.5,3489587.33,4431,0.17813502473622778,31.562982128069088,-0.02032283859498797,-5.450327669832384,0.2894734461369166,139.0
2.0,2617190.5,5900,0.18527237516910866,35.28795301527241,-0.022911088479761338,-6.851624449989748,0.29553624556412506,101.0
3.0,1744793.67,8827,0.1885254293011067,41.35470922803422,-0.021966206125054944,-7.563842600515753,0.28822864745375676,63.0
5.0,1046876.2,14601,0.20313791132854542,49.2534104699407,-0.028127883571156295,-11.12186492166975,0.29683087271768005,36.0
7.0,747768.71,20277,0.20995475861350052,52.49008375908566,-0.027558188987922578,-12.71734306214985,0.29775904117223173,25.0
10.0,523438.1,28711,0.21465974678867103,58.07739689328695,-0.02601979961586447,-13.31602941754426,0.29885782986988907,17.0
14.0,373884.36,39662,0.22031812577071128,60.692901461451854,-0.024021332505869047,-14.65605551827578,0.3017011229701513,12.0
20.0,261719.05,55577,0.2265212574843993,64.41140423910072,-0.021195126201515087,-13.97939263783558,0.30553632056374025,9.0
30.0,174479.37,80534,0.22920436495832897,67.12434007166803,-0.01658400888503128,-12.329721166070918,0.30449855640688417,6.0
50.0,104687.62,125169,0.2349160505018815,69.62901481975497,-0.014654849696523968,-12.80144719666136,0.3090034361055892,4.0
70.0,74776.87,163686,0.2378016391957715,71.53282894828611,-0.013160583288913782,-12.605733263227208,0.31395066271336325,3.0
100.0,52343.81,212635,0.24041191767161177,72.79440004977343,-0.0120052936633985,-12.36385353438343,0.31524116030406013,2.0
