bars_per_day,quarter,n,r2
150,2024Q1,18492,0.4023742147562025
150,2024Q2,16466,0.4057640975814065
150,2024Q3,13971,0.34606562118990747
150,2024Q4,22711,0.3972429734644114
150,2025Q1,21268,0.3441659021212433
150,2025Q2,26626,0.33307964294486636
150,2025Q3,44314,0.409911084101671
150,2025Q4,37893,0.3769565194920552
150,2026Q1,31907,0.435535282000885
150,2026Q2,26454,0.435058982545549
150,2026Q3,16380,0.37011640573399807
200,2024Q1,22513,0.4004500840096247
200,2024Q2,20006,0.40573224037704014
200,2024Q3,17201,0.34886127566052605
200,2024Q4,26889,0.40080200634889673
200,2025Q1,25630,0.34160514810544673
200,2025Q2,31683,0.3372418670941508
200,2025Q3,49758,0.4055137645836273
200,2025Q4,42968,0.3804750034613261
200,2026Q1,37101,0.4382843230542862
200,2026Q2,31544,0.4400913289085283
200,2026Q3,19784,0.37747269421637086
300,2024Q1,28768,0.40770678750552913
300,2024Q2,25399,0.4083662027867394
300,2024Q3,22372,0.35041413229930196
300,2024Q4,32990,0.40173371681483017
300,2025Q1,32064,0.3457809068051092
300,2025Q2,39279,0.34270892744674897
300,2025Q3,56578,0.409159082742366
300,2025Q4,49480,0.38295579047734707
300,2026Q1,44332,0.44102688478354346
300,2026Q2,39051,0.43838235753249444
300,2026Q3,24821,0.3771517869693146
500,2024Q1,36605,0.4044192293425519
500,2024Q2,32327,0.4128152852129352
500,2024Q3,29357,0.3515216671205311
500,2024Q4,40039,0.4005855338909595
500,2025Q1,39739,0.34917649654491856
500,2025Q2,47988,0.3454942730778209
500,2025Q3,63432,0.41144902015302887
500,2025Q4,56386,0.38479103797628345
500,2026Q1,52544,0.4444511574091995
500,2026Q2,48143,0.43551920987038195
500,2026Q3,31107,0.36123164363440563
1000,2024Q1,45505,0.404107362800028
1000,2024Q2,40149,0.415011168972897
1000,2024Q3,38221,0.3551487971381826
1000,2024Q4,47844,0.3990287127463895
1000,2025Q1,48028,0.34909512081545946
1000,2025Q2,57468,0.34952957289855635
1000,2025Q3,69831,0.413098147434083
1000,2025Q4,63155,0.38534916665798735
1000,2026Q1,61149,0.44534425002234057
1000,2026Q2,58212,0.4358031592282139
1000,2026Q3,38459,0.36379766027727145
