bars_per_day,quarter,n,r2
1.0,2024Q1,154,0.36455272708210607
1.0,2024Q2,144,0.36393338753233007
1.0,2024Q3,115,0.3723461725279904
1.0,2024Q4,222,0.34308259642025507
1.0,2025Q1,200,0.1507471944601373
1.0,2025Q2,254,0.30655026481745007
1.0,2025Q3,606,0.5046995344941787
1.0,2025Q4,499,0.43713773131977884
1.0,2026Q1,346,0.4890740535830237
1.0,2026Q2,262,0.4072048731752208
1.0,2026Q3,153,0.2770896460465603
1.5,2024Q1,232,0.2968660007605717
1.5,2024Q2,216,0.35039690218283415
1.5,2024Q3,174,0.3235760434078635
1.5,2024Q4,332,0.3498042212145178
1.5,2025Q1,298,0.19692741727970997
1.5,2025Q2,382,0.3393017288913148
1.5,2025Q3,910,0.4892819732696453
1.5,2025Q4,747,0.41614026098956935
1.5,2026Q1,519,0.47725651397088187
1.5,2026Q2,392,0.43899648280133463
1.5,2026Q3,229,0.33048356606739593
2.0,2024Q1,309,0.35121380400883484
2.0,2024Q2,288,0.36391032028275194
2.0,2024Q3,233,0.35838794591745426
2.0,2024Q4,442,0.38299382327971476
2.0,2025Q1,399,0.1878192222034707
2.0,2025Q2,509,0.31913181474366137
2.0,2025Q3,1208,0.4687285982771189
2.0,2025Q4,992,0.41074746814041696
2.0,2026Q1,691,0.46759529110781917
2.0,2026Q2,524,0.42655904923223165
2.0,2026Q3,305,0.34421126886324904
3.0,2024Q1,464,0.32426703447108807
3.0,2024Q2,434,0.36441404365715946
3.0,2024Q3,351,0.36207016033526096
3.0,2024Q4,662,0.3539589981810283
3.0,2025Q1,597,0.2265978176181097
3.0,2025Q2,764,0.31352817500789765
3.0,2025Q3,1802,0.43831098736957297
3.0,2025Q4,1479,0.37982906776732484
3.0,2026Q1,1032,0.43838716609994066
3.0,2026Q2,784,0.44994006723252467
3.0,2026Q3,458,0.3923000029329746
5.0,2024Q1,775,0.3516952675159065
5.0,2024Q2,723,0.38140597481460503
5.0,2024Q3,584,0.3121921122629798
5.0,2024Q4,1099,0.3840908877488233
5.0,2025Q1,986,0.2523107350132351
5.0,2025Q2,1269,0.3241406604227185
5.0,2025Q3,2968,0.443486140607679
5.0,2025Q4,2423,0.37624473398349545
5.0,2026Q1,1711,0.43784555650969115
5.0,2026Q2,1304,0.42999886310256774
5.0,2026Q3,759,0.3835098456875091
7.0,2024Q1,1083,0.3915115323802236
7.0,2024Q2,1009,0.3889601403813414
7.0,2024Q3,819,0.3470232864271715
7.0,2024Q4,1521,0.3872791750904532
7.0,2025Q1,1368,0.266984975110767
7.0,2025Q2,1762,0.2987726138292761
7.0,2025Q3,4117,0.4155584920195574
7.0,2025Q4,3352,0.3692857873818304
7.0,2026Q1,2377,0.4231234283561569
7.0,2026Q2,1815,0.42623023034258956
7.0,2026Q3,1054,0.4245463596149347
10.0,2024Q1,1542,0.37990832653248974
10.0,2024Q2,1435,0.39808433341830585
10.0,2024Q3,1168,0.33019254790644026
10.0,2024Q4,2155,0.38030305108298523
10.0,2025Q1,1930,0.2967724283787657
10.0,2025Q2,2504,0.2976612475394552
10.0,2025Q3,5806,0.40419103571265347
10.0,2025Q4,4742,0.3517254881932165
10.0,2026Q1,3372,0.42422843421942336
10.0,2026Q2,2561,0.41206160357777166
10.0,2026Q3,1496,0.3933664924308493
14.0,2024Q1,2154,0.3935376875850245
14.0,2024Q2,1992,0.38010129171718976
14.0,2024Q3,1628,0.34582172834316727
14.0,2024Q4,2993,0.4066977860537465
14.0,2025Q1,2675,0.30789431069135964
14.0,2025Q2,3462,0.28848013733843925
14.0,2025Q3,7965,0.39129085701189503
14.0,2025Q4,6504,0.369444589578132
14.0,2026Q1,4666,0.42663280248612157
14.0,2026Q2,3553,0.42189612396703735
14.0,2026Q3,2070,0.39799696479428637
20.0,2024Q1,3055,0.3995608037820523
20.0,2024Q2,2810,0.39942202983104813
20.0,2024Q3,2315,0.3488828734846461
20.0,2024Q4,4227,0.40104207394801583
20.0,2025Q1,3769,0.32307655323751205
20.0,2025Q2,4868,0.30504455142768827
