horizon_min,ofi_mean_bp,ofi_se_bp,t_blockboot,ci_lo_bp,ci_hi_bp,n,cs_mean_bp,cs_t,cs_n,t_nonoverlap,n_noov,placebo_bp,placebo_sd
0.5,0.49,0.265,1.85,-0.027,1.017,2958,0.468,0.79,483,1.78,2958,0.001,0.284
1.0,0.741,0.346,2.14,0.057,1.428,2958,1.042,1.4,483,1.95,2958,0.009,0.387
2.0,1.028,0.526,1.95,0.028,2.112,2958,4.728,2.27,483,1.76,2958,0.078,0.568
3.0,0.903,0.599,1.51,-0.23,2.099,2873,3.588,1.62,483,1.37,2869,0.068,0.63
5.0,1.023,0.673,1.52,-0.234,2.378,2850,1.036,0.62,483,1.48,2841,0.195,0.809
7.0,1.226,0.769,1.59,-0.223,2.761,2835,2.176,1.15,483,1.99,2813,0.162,0.877
10.0,1.724,0.89,1.94,-0.036,3.524,2807,3.621,1.7,483,2.06,2772,0.199,0.933
15.0,2.432,1.137,2.14,0.228,4.666,2804,3.962,1.5,483,2.32,2726,0.041,1.065
20.0,3.442,1.264,2.72,1.036,5.911,2776,5.892,1.59,483,2.54,2655,-0.05,1.282
30.0,5.475,1.505,3.64,2.624,8.586,2758,6.85,1.8,483,3.16,2551,-0.059,1.474
45.0,5.697,1.807,3.15,2.37,9.402,2732,11.178,2.28,483,2.32,2409,0.069,1.911
60.0,7.48,2.16,3.46,3.588,11.848,2684,9.038,1.62,483,2.59,2257,0.047,1.998
90.0,7.213,2.648,2.72,2.489,12.557,2512,10.829,1.75,483,2.31,1949,0.09,2.317
120.0,7.368,2.996,2.46,1.869,13.374,2475,11.042,1.67,483,2.24,1777,0.071,2.966
180.0,9.734,3.637,2.68,2.631,17.032,2434,15.272,1.7,483,3.18,1546,0.48,3.505
240.0,10.366,4.157,2.49,2.503,18.522,2410,19.067,1.81,483,2.53,1381,0.155,3.374
360.0,9.184,5.082,1.81,-0.31,19.681,2230,21.324,1.54,483,0.97,1133,-0.712,4.413
480.0,-2.851,6.089,-0.47,-14.878,8.761,2030,23.602,1.53,483,-1.61,930,-1.158,5.471
720.0,5.51,6.388,0.86,-6.997,17.7,2109,28.882,1.78,483,1.79,732,-0.746,6.455
1080.0,1.855,8.698,0.21,-14.797,19.362,2043,34.544,1.81,483,0.25,550,-1.773,6.859
1440.0,-2.771,8.553,-0.32,-19.806,14.061,2149,31.051,1.52,483,-1.02,465,-1.641,8.334
