seed,sharpe,cagr_pct,mdd_pct,ann_vol_pct,total_pct
0,0.049,0.34,-7.91,6.92,0.78
1,-0.248,-1.74,-11.32,6.92,-3.989
2,-0.764,-5.49,-17.2,6.92,-12.273
3,0.188,1.29,-9.24,6.92,3.024
4,-0.129,-0.9,-13.89,6.92,-2.078
5,-0.368,-2.59,-12.27,6.92,-5.914
6,0.615,4.14,-7.0,6.92,9.869
7,0.034,0.24,-17.4,6.92,0.551
8,-0.419,-2.96,-15.49,6.92,-6.733
9,0.406,2.76,-11.73,6.92,6.52
10,-0.722,-5.17,-18.83,6.92,-11.593
11,0.02,0.14,-13.74,6.92,0.318
12,0.737,4.94,-6.29,6.92,11.838
13,-0.46,-3.25,-13.88,6.92,-7.385
14,-0.395,-2.79,-14.07,6.92,-6.344
15,0.819,5.47,-7.96,6.92,13.144
16,-0.716,-5.13,-11.51,6.92,-11.49
17,0.198,1.36,-6.83,6.92,3.181
18,0.316,2.16,-8.28,6.92,5.069
19,-0.62,-4.42,-14.03,6.92,-9.947
20,0.675,4.54,-5.34,6.92,10.836
21,-0.952,-6.9,-21.1,6.92,-15.286
22,-1.205,-8.85,-22.1,6.92,-19.34
23,0.252,1.73,-7.73,6.92,4.047
24,-0.743,-5.33,-15.13,6.92,-11.93
25,-0.107,-0.74,-14.61,6.92,-1.714
26,-0.474,-3.36,-10.35,6.92,-7.614
27,-0.141,-0.98,-10.88,6.92,-2.258
28,0.675,4.54,-9.74,6.92,10.835
29,0.481,3.26,-7.87,6.92,7.728
30,-0.617,-4.4,-14.21,6.92,-9.91
31,0.458,3.11,-10.57,6.92,7.351
32,0.639,4.3,-9.57,6.92,10.252
33,0.088,0.61,-15.35,6.92,1.41
34,-0.37,-2.61,-14.92,6.92,-5.944
35,-0.094,-0.65,-18.64,6.92,-1.505
36,-0.199,-1.39,-15.68,6.92,-3.199
37,-0.674,-4.82,-15.54,6.92,-10.819
38,-1.4,-10.4,-25.25,6.92,-22.482
39,-0.439,-3.1,-14.61,6.92,-7.051
40,0.594,4.0,-12.65,6.92,9.533
41,-0.216,-1.51,-11.19,6.92,-3.469
42,0.427,2.9,-11.06,6.92,6.851
43,-0.523,-3.71,-18.4,6.92,-8.389
44,-0.868,-6.26,-18.01,6.92,-13.926
45,-1.333,-9.86,-24.15,6.92,-21.392
46,-0.125,-0.87,-14.09,6.92,-1.999
47,0.397,2.7,-13.63,6.92,6.366
48,-0.043,-0.3,-15.3,6.92,-0.697
49,-0.76,-5.45,-19.87,6.92,-12.194
50,0.004,0.03,-12.78,6.92,0.066
51,-1.032,-7.51,-23.09,6.92,-16.565
52,-0.199,-1.39,-10.69,6.92,-3.195
53,-0.572,-4.07,-15.05,6.92,-9.175
54,-0.713,-5.1,-22.33,6.92,-11.442
55,-0.915,-6.62,-21.73,6.92,-14.683
56,0.432,2.93,-7.02,6.92,6.935
57,-0.428,-3.02,-18.28,6.92,-6.872
58,-0.946,-6.85,-22.59,6.92,-15.182
59,-0.034,-0.24,-18.15,6.92,-0.553
60,-0.529,-3.76,-18.01,6.92,-8.499
61,0.484,3.28,-7.91,6.92,7.767
62,-1.302,-9.61,-25.03,6.92,-20.896
63,0.31,2.11,-9.05,6.92,4.971
64,-0.92,-6.66,-20.01,6.92,-14.778
65,0.738,4.94,-7.43,6.92,11.843
